,customerid,lastname,creditscore
0,15634602,Hargrave,619
1,15647311,Hill,608
2,15619304,Onio,502
3,15701354,Boni,699
4,15737888,Mitchell,850
5,15574012,Chu,645
6,15592531,Bartlett,822
7,15656148,Obinna,376
8,15792365,He,501
9,15592389,H?,684
10,15767821,Bearce,528
11,15737173,Andrews,497
12,15632264,Kay,476
13,15691483,Chin,549
14,15600882,Scott,635
15,15643966,Goforth,616
16,15737452,Romeo,653
17,15788218,Henderson,549
18,15661507,Muldrow,587
19,15568982,Hao,726
20,15577657,McDonald,732
21,15597945,Dellucci,636
22,15699309,Gerasimov,510
23,15725737,Mosman,669
24,15625047,Yen,846
25,15738191,Maclean,577
26,15736816,Young,756
27,15700772,Nebechi,571
28,15728693,McWilliams,574
29,15656300,Lucciano,411
30,15589475,Azikiwe,591
31,15706552,Odinakachukwu,533
32,15750181,Sanderson,553
33,15659428,Maggard,520
34,15732963,Clements,722
35,15794171,Lombardo,475
36,15788448,Watson,490
37,15729599,Lorenzo,804
38,15717426,Armstrong,850
39,15585768,Cameron,582
40,15619360,Hsiao,472
41,15738148,Clarke,465
42,15687946,Osborne,556
43,15755196,Lavine,834
44,15684171,Bianchi,660
45,15754849,Tyler,776
46,15602280,Martin,829
47,15771573,Okagbue,637
48,15766205,Yin,550
49,15771873,Buccho,776
50,15616550,Chidiebele,698
51,15768193,Trevisani,585
52,15683553,O'Brien,788
53,15702298,Parkhill,655
54,15569590,Yoo,601
55,15760861,Phillipps,619
56,15630053,Tsao,656
57,15647091,Endrizzi,725
58,15623944,T'ien,511
59,15804771,Velazquez,614
60,15651280,Hunter,742
61,15773469,Clark,687
62,15702014,Jeffrey,555
63,15751208,Pirozzi,684
64,15592461,Jackson,603
65,15789484,Hammond,751
66,15696061,Brownless,581
67,15641582,Chibugo,735
68,15638424,Glauert,661
69,15755648,Pisano,675
70,15703793,Konovalova,738
71,15620344,McKee,813
72,15812518,Palermo,657
73,15779052,Ballard,604
74,15770811,Wallace,519
75,15780961,Cavenagh,735
76,15614049,Hu,664
77,15662085,Read,678
78,15575185,Bushell,757
79,15803136,Postle,416
80,15706021,Buley,665
81,15663706,Leonard,777
82,15641732,Mills,543
83,15701164,Onyeorulu,506
84,15738751,Beit,493
85,15805254,Ndukaku,652
86,15762418,Gant,750
87,15625759,Rowley,729
88,15622897,Sharpe,646
89,15767954,Osborne,635
90,15757535,Heap,647
91,15731511,Ritchie,808
92,15809248,Cole,524
93,15640635,Capon,769
94,15676966,Capon,730
95,15699461,Fiorentini,515
96,15738721,Graham,773
97,15693683,Yuille,814
98,15604348,Allard,710
99,15633059,Fanucci,413
100,15808582,Fu,665
101,15743192,Hung,623
102,15580146,Hung,738
103,15776605,Bradley,528
104,15804919,Dunbabin,670
105,15613854,Mauldon,622
106,15599195,Stiger,582
107,15812878,Parsons,785
108,15602312,Walkom,605
109,15744689,T'ang,479
110,15803526,Eremenko,685
111,15665790,Rowntree,538
112,15715951,Thorpe,562
113,15591100,Chiemela,675
114,15609618,Fanucci,721
115,15675522,Ko,628
116,15705512,Welch,668
117,15698028,Duncan,506
118,15661670,Chidozie,524
119,15600781,Wu,699
120,15682472,Culbreth,828
121,15580203,Kennedy,674
122,15690673,Cameron,656
123,15760085,Calabresi,684
124,15779659,Zetticci,625
125,15627360,Fuller,432
126,15671137,MacDonald,549
127,15782688,Piccio,625
128,15575492,Kennedy,828
129,15591607,Fernie,770
130,15740404,He,758
131,15718369,Kaodilinakachukwu,795
132,15677871,Cocci,687
133,15642004,Alekseeva,686
134,15712543,Chinweike,789
135,15584518,Arthur,589
136,15802381,Li,461
137,15610156,Ma,637
138,15594408,Chia,584
